job_loss_article_headline,job_loss_article_url,job_loss_country_name,job_loss_date_accessed,job_loss_dates_mentioned,job_loss_entities_mentioned,job_loss_extracted_text,job_loss_id,job_loss_language,job_loss_numbers_mentioned,job_loss_publication_date,job_loss_publication_name,country,id
'EKZ expect rent losses of 90 million a month',https://www.textilzeitung.at/business/news/ekz-rechnen-mit-mietausfaellen-von-90-mio.-monatlich-12208,Austria,2020-10-23,[],[],"Radical cuts must be expected here, even with the large international chains. """,510,German,[],"'March 25, 2020'",TextilZeitung - Business,Austria,11
'Tally Weijl closes 200 stores',https://www.textilzeitung.at/business/news/tally-weijl-schliesst-200-laeden--12352,Austria,2020-10-23,['the end of 2021'],[],The business plan provides for 750 to 800 positions to be cut by the end of 2021.,519,German,['750'],'13. May 2020',TextilZeitung - Business,Austria,11
'Haanl / Wardrobe is insolvent',https://www.textilzeitung.at/business/news/haanlschrankraum-ist-insolvent-12348,Austria,2020-10-23,[],[],The company is to be continued and discharged through a restructuring plan.,525,German,[],'12. May 2020',TextilZeitung - Business,Austria,11
'Esprit closes every second German branch',https://www.textilzeitung.at/business/handel/kahlschlag-esprit-schliesst-jede-zweite-deutsche-filiale-13102,Austria,2020-10-23,[],[],"The core of the restructuring is a clear cut in the German branch network, by far the company's most important individual market.",537,German,[],"'July 02, 2020'",TextilZeitung - Business,Austria,11
'Pocket producers saved',https://www.textilzeitung.at/business/news/picard-taschenerzeuger-gerettet-13247,Austria,2020-10-23,['last year'],"['Picard', 'Galeria', 'Karstadt', 'Kaufhof']","The corona crisis drove the company into bankruptcy, as Picard operates the majority of its own stores at German airports and also works on a large scale with Galeria Karstadt Kaufhof, in order to make the company, which last year raised 27 million euros, fit for the future , 30% of the workforce have already been laid off.",553,German,['27 million'],'17. August 2020',TextilZeitung - Business,Austria,11
'Decline in sales: Seidensticker expects minus 20%',https://www.textilzeitung.at/business/news/betriebsbedingte-kuendigungen-umsatzrueckgang-seidensticker-rechnet-mit-minus-20--13291,Austria,2020-10-23,[],['Bielefeld'],"The effects of the corona are also noticeable in Bielefeld: A state guarantee is intended to secure the future of the group of companies, and 60 employees are being laid off at the location itself.",550,German,['60'],'31. August 2020',TextilZeitung - Business,Austria,11
'When will the exit from Corona come?',https://www.textilzeitung.at/business/news/studie-sieht-modenhandel-als-verlierer-wann-kommt-exit-von-corona-13086,Austria,2020-10-23,[],[],The IfM also expects job cuts here.,533,German,[],'29. June 2020',TextilZeitung - Business,Austria,11
'Ahlers is reducing staff',https://www.textilzeitung.at/business/news/stellenreduzierung-ahlers-baut-personal-ab-13357,Austria,2020-10-23,[],[],"The job cuts should be carried out in a socially acceptable manner and in cooperation with the employee representatives, with a focus on voluntary part-time models, partial retirement and the use of natural fluctuation and internal staffing changes in order to keep the number of redundancies as low as possible.",549,German,[],'23. September 2020',TextilZeitung - Business,Austria,11
'The wave of layoffs begins at Nike',https://www.textilzeitung.at/business/news/einsparungen-in-oregon-bei-nike-beginnt-die-entlassungswelle-13216,Austria,2020-10-23,['October 1st'],['October'],The layoffs begin on October 1st and are only intended to be the beginning of the wave of layoffs.,544,German,[],'04. August 2020',TextilZeitung - Business,Austria,11
'Laurèl insolvent again',https://www.textilzeitung.at/business/news/laurl-wieder-zahlungsunfaehig-11988,Austria,2020-10-23,[],['Munich'],"The new owner is to plan tough cuts, including a wave of layoffs at the headquarters on the outskirts of Munich.",506,German,[],"'January 07, 2020'",TextilZeitung - Business,Austria,11
'Traditional costume mourns the Oktoberfest',https://www.textilzeitung.at/business/news/tracht-trauert-der-wiesn-nach-12299,Austria,2020-10-23,[],[],There will be bad debts and I'm afraid that after the short-time work there will be another wave of layoffs in the textile trade.,528,German,[],'24. April 2020',TextilZeitung - Business,Austria,11
'The wave of layoffs begins at Nike',https://www.textilzeitung.at/business/news/einsparungen-in-oregon-bei-nike-beginnt-die-entlassungswelle-13216,Austria,2020-10-23,[],[],The savings from these job cuts are expected to be between $ 200 million and $ 250 million.,545,German,[],'04. August 2020',TextilZeitung - Business,Austria,11
'The wave of layoffs begins at Nike',https://www.textilzeitung.at/business/news/einsparungen-in-oregon-bei-nike-beginnt-die-entlassungswelle-13216,Austria,2020-10-23,['Monday'],"['Monday', 'Nike', 'Oregon', 'USA']","The sportswear icon has also been crunching in the framework for some time: on Monday, Nike announced that it would cut at least 500 employees at its headquarters in Oregon, USA.",543,German,['at least 500'],'04. August 2020',TextilZeitung - Business,Austria,11
'Downsizing at s.Oliver - also in Austria',https://www.textilzeitung.at/business/news/personalabbau-bei-s.oliver--auch-in-oesterreich-12210,Austria,2020-10-23,['this week'],['TextilWirtschaft'],The TextilWirtschaft reported that 170 employees were laid off this week.,512,German,['170'],"'March 26, 2020'",TextilZeitung - Business,Austria,11
'Huber Group: restructuring proceedings opened',https://www.textilzeitung.at/business/news/huber-beantragt-sanierungsplan-12381,Austria,2020-10-23,[],[],"The traditional Vorarlberg lingerie manufacturer wants to continue on a smaller scale, 120 employees should lose their jobs.",518,German,['120'],'12. June 2020',TextilZeitung - Business,Austria,11
'Brax cancels up to 140 places',https://www.textilzeitung.at/business/news/stellenabbau-in-bielefeld-brax-streicht-bis-zu-140-stellen-13082,Austria,2020-10-23,[],['Herford'],The trousers and article specialist from Herford is expecting sales to decline by 22% - and is responding with layoffs.,534,German,[],'29. June 2020',TextilZeitung - Business,Austria,11
'Wolford: Cutting moves to Slovenia',https://www.textilzeitung.at/business/industrie/54-mitarbeiter-muessen-gehen-wolford-zuschnitt-wandert-nach-slowenien-13269,Austria,2020-10-23,['years'],"['Vorarlberg', 'Wolford', 'Bregenz']","The Vorarlberg underwear manufacturer Wolford, which has been struggling with economic difficulties for years, will cut 54 employees at its headquarters in Bregenz.",554,German,['54'],'24. August 2020',TextilZeitung - Business,Austria,11
'Again improvement in short-time work',https://www.textilzeitung.at/business/news/abermals-nachbesserung-bei-kurzarbeit-12194,Austria,2020-10-23,['the end of the month'],[],"This must happen immediately, otherwise there is a risk of further layoffs until the end of the month,"" explains Want.",511,German,[],"'March 23, 2020'",TextilZeitung - Business,Austria,11
'Clear cutting at Galeria Karstadt Kaufhof',https://www.textilzeitung.at/business/news/kahlschlag-bei-galeria-karstadt-kaufhof-12354,Austria,2020-10-23,[],[],"""Unfortunately, there must also be closings of locations and, accordingly, job losses.""",524,German,[],'18. May 2020',TextilZeitung - Business,Austria,11
'Downsizing at s.Oliver - also in Austria',https://www.textilzeitung.at/business/news/personalabbau-bei-s.oliver--auch-in-oesterreich-12210,Austria,2020-10-23,[],"['Salzburg', 'Brandboxx']","Upon request, the company will also announce deep cuts in the Austrian headquarters in Salzburg's Brandboxx.",513,German,[],"'March 26, 2020'",TextilZeitung - Business,Austria,11
'Clear cutting at Galeria Karstadt Kaufhof',https://www.textilzeitung.at/business/news/kahlschlag-bei-galeria-karstadt-kaufhof-12354,Austria,2020-10-23,[],[],Up to ten percent of the jobs could be cut in the remaining houses.,522,German,[],'18. May 2020',TextilZeitung - Business,Austria,11
